1	2	6	1	5	2	6	2	3	3	1
2	2	6	1	1	3	6	9	3	S	3
8	3	1	1	2	2	8	1	1	3	6
2	2	5	2	5	2	2	3	1	7	2
3	2	6	1	1	8	1	2	6	2	9
8	3	1	1	2	2	8	1	1	3	6
2	2	5	2	5	2	2	3	1	7	2
3	2	6	1	1	8	1	2	6	2	9
8	3	1	1	2	2	8	1	1	3	6
2	2	5	2	5	2	2	3	1	7	2
3	2	6	1	1	8	1	2	6	2	9
8	3	1	1	2	2	8	1	1	3	6
2	2	5	2	5	2	2	3	1	7	2
3	2	6	1	1	8	1	2	6	2	9
8	3	1	1	2	2	8	1	1	3	6
2	2	5	2	5	2	2	3	1	7	2
3	2	6	1	1	8	1	2	6	2	9
8	3	1	1	2	2	8	1	1	3	6
2	2	5	2	5	2	2	3	1	7	2
3	2	6	1	1	8	1	2	6	2	9
8	3	1	1	2	2	8	1	1	3	6
2	2	5	2	5	2	2	3	1	7	2
3	2	6	1	1	8	1	2	6	2	9
8	3	1	1	2	2	8	1	1	3	6
2	2	5	2	5	2	2	3	1	7	2
3	2	6	1	1	8	1	2	6	2	9
8	3	1	1	2	2	8	1	1	3	6
2	2	5	2	5	2	2	3	1	7	2
3	2	6	1	1	8	1	2	6	2	9
8	3	1	1	2	2	8	1	1	3	6
2	2	5	2	5	2	2	3	1	7	2
3	2	6	1	1	8	1	2	6	2	9
8	3	1	1	2	2	8	1	1	3	6
2	2	5	2	5	2	2	3	1	7	2
3	2	6	1	1	8	1	2	6	2	9
8	3	1	1	2	2	8	1	1	3	6
2	2	5	2	5	2	2	3	1	7	2
3	2	6	1	1	8	1	2	6	2	9
8	3	1	1	2	2	8	1	1	3	6
2	2	5	2	5	2	2	3	1	7	2
3	2	6	1	1	8	1	2	6	2	9
8	3	1	1	2	2	8	1	1	3	6
2	2	5	2	5	2	2	3	1	7	2
3	2	6	1	1	8	1	2	6	2	9
8	3	1	1	2	2	8	1	1	3	6
2	2	5	2	5	2	2	3	1	7	2
3	2	6	1	1	8	1	2	6	2	9
8	3	1	1	2	2	8	1	1	3	6
2	2	5	2	5	2	2	3	1	7	2
3	2	6	1	1	8	1	2	6	2	9
8	3	1	1	2	2	8	1	1	3	6
2	2	5	2	5	2	2	3	1	7	2
3	2	6	1	1	8	1	2	6	2	9
8	3	1	1	2	2	8	1	1	3	6
2	2	5	2	5	2	2	3	1	7	2
3	2	6	1	1	8	1	2	6	2	9
8	3	1	1	2	2	8	1	1	3	6
2	2	5	2	5	2	2	3	1	7	2
3	2	6	1	1	8	1	2	6	2	9
8	3	1	1	2	2	8	1	1	3	6
2	2	5	2	5	2	2	3	1	7	2
3	2	6	1	1	8	1	2	6	2	9
8	3	1	1	2	2	8	1	1	3	6
2	2	5	2	5	2	2	3	1	7	2
3	2	6	1	1	8	1	2	6	2	9
8	3	1	1	2	2	8	1	1	3	6
2	2	5	2	5	2	2	3	1	7	2
3	2	6	1	1	8	1	2	6	2	9
G	5	4	6	1	2	3	3	1	6	3
